id,Categoria,Produto,Preço,Link
448,Memória RAM,"Memória RAM para Notebook Corsair Vengeance, 8GB, 3200MHz, DDR4, CL22, Preto - CMSX8GX4M1A3200C22",147.99,https://www.kabum.com.br/produto/382766/memoria-ram-para-notebook-corsair-vengeance-8gb-3200mhz-ddr4-cl22-preto-cmsx8gx4m1a3200c22
449,Memória RAM,Memória Ddr3 8GB 1600mhz Para Notebook - Alto Desempenho Compatibilidade Universal,51.5,https://www.kabum.com.br/produto/680405/memoria-ddr3-8gb-1600mhz-para-notebook-alto-desempenho-compatibilidade-universal
450,Memória RAM,"Memória RAM Lexar 8GB, 3200MHz, DDR4, CL22, Preto - LD4AU008G-B3200GSST",109.99,https://www.kabum.com.br/produto/548584/memoria-ram-lexar-8gb-3200mhz-ddr4-cl22-preto-ld4au008g-b3200gsst
451,Memória RAM,"Memória RAM Corsair Vengeance para AMD, 64GB (2x32GB), 5200MHz, DDR5, CL40, Preto - CMK64GX5M2B5200Z40",1239.99,https://www.kabum.com.br/produto/385268/memoria-ram-corsair-vengeance-para-amd-64gb-2x32gb-5200mhz-ddr5-cl40-preto-cmk64gx5m2b5200z40
452,Memória RAM,"Memória RAM Corsair Vengeance RGB RS, 32GB (2x16GB), 3200MHz, DDR4, CL16, Preto - CMG32GX4M2E3200C16",589.99,https://www.kabum.com.br/produto/382749/memoria-ram-corsair-vengeance-rgb-rs-32gb-2x16gb-3200mhz-ddr4-cl16-preto-cmg32gx4m2e3200c16
453,Memória RAM,"Memória RAM Corsair Vengeance para AMD, 32GB (2x16GB), 5200MHz, DDR5, C40, Preto - CMK32GX5M2B5200Z40",722.99,https://www.kabum.com.br/produto/385266/memoria-ram-corsair-vengeance-para-amd-32gb-2x16gb-5200mhz-ddr5-c40-preto-cmk32gx5m2b5200z40
454,Memória RAM,"Memória RAM Kingston Fury Beast, 16GB, 5200MHz, DDR5, CL40, para Intel XMP, Preto - KF552C40BB-16",359.99,https://www.kabum.com.br/produto/264718/memoria-ram-kingston-fury-beast-16gb-5200mhz-ddr5-cl40-para-intel-xmp-preto-kf552c40bb-16
455,Memória RAM,"Memória RAM para Notebook Corsair Vengeance, 16GB, 2400MHz, DDR4, CL16, Preto - CMSX16GX4M1A2400C16",229.99,https://www.kabum.com.br/produto/110921/memoria-ram-para-notebook-corsair-vengeance-16gb-2400mhz-ddr4-cl16-preto-cmsx16gx4m1a2400c16
456,Memória RAM,Memoria 8GB P/ Notebook Kingston Ddr4 3200mhz Kvr32s22s8/8,131.37,https://www.kabum.com.br/produto/564690/memoria-8gb-p-notebook-kingston-ddr4-3200mhz-kvr32s22s8-8
457,Memória RAM,"Memória RAM Corsair Vengeance LPX 16GB (2x8GB), 3600Mhz, DDR4, CL18, Preto - CMK16GX4M2D3600C18",289.99,https://www.kabum.com.br/produto/110779/memoria-ram-corsair-vengeance-lpx-16gb-2x8gb-3600mhz-ddr4-cl18-preto-cmk16gx4m2d3600c18
